duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,bike_type
14,2020-10-01 00:06:00,2020-10-01 00:20:00,3042,34.049301,-118.238808,3074,34.04417,-118.261169,6378,standard
18,2020-10-01 00:25:00,2020-10-01 00:43:00,4404,34.04813,-118.271027,4444,34.061619,-118.305573,12440,standard
141,2020-10-01 00:29:00,2020-10-01 02:50:00,4482,34.094372,-118.331009,4482,34.094372,-118.331009,19803,electric
141,2020-10-01 00:29:00,2020-10-01 02:50:00,4482,34.094372,-118.331009,4482,34.094372,-118.331009,18915,electric
15,2020-10-01 00:42:00,2020-10-01 00:57:00,3074,34.04417,-118.261169,3042,34.049301,-118.238808,20062,standard
40,2020-10-01 00:44:00,2020-10-01 01:24:00,4302,34.092491,-118.291443,4302,34.092491,-118.291443,17163,electric
24,2020-10-01 00:58:00,2020-10-01 01:22:00,3078,34.064281,-118.238937,4478,34.10424,-118.273697,16777,electric
9,2020-10-01 01:25:00,2020-10-01 01:34:00,3005,34.0485,-118.258537,4491,34.04744,-118.24794,19985,standard
23,2020-10-01 01:48:00,2020-10-01 02:11:00,4302,34.092491,-118.291443,4302,34.092491,-118.291443,17163,electric
22,2020-10-01 01:50:00,2020-10-01 02:12:00,4314,34.057709,-118.279762,4390,34.069271,-118.296593,6008,standard
249,2020-10-01 03:18:00,2020-10-01 07:27:00,3005,34.0485,-118.258537,3062,34.047749,-118.243172,6210,standard
17,2020-10-01 05:21:00,2020-10-01 05:38:00,4480,34.05896,-118.250587,3011,34.04113,-118.267982,16997,electric
8,2020-10-01 05:21:00,2020-10-01 05:29:00,4480,34.05896,-118.250587,3005,34.0485,-118.258537,20064,standard
7,2020-10-01 05:30:00,2020-10-01 05:37:00,3005,34.0485,-118.258537,3011,34.04113,-118.267982,19687,electric
21,2020-10-01 05:38:00,2020-10-01 05:59:00,3011,34.04113,-118.267982,4480,34.05896,-118.250587,18873,electric
13,2020-10-01 05:46:00,2020-10-01 05:59:00,3011,34.04113,-118.267982,4480,34.05896,-118.250587,16997,electric
17,2020-10-01 06:49:00,2020-10-01 07:06:00,3027,34.04998,-118.247162,3027,34.04998,-118.247162,6636,standard
20,2020-10-01 07:04:00,2020-10-01 07:24:00,4419,34.165218,-118.355148,4419,34.165218,-118.355148,16257,smart
7,2020-10-01 07:28:00,2020-10-01 07:35:00,3077,34.039871,-118.250038,3005,34.0485,-118.258537,5901,standard
13,2020-10-01 07:34:00,2020-10-01 07:47:00,4401,34.075611,-118.291862,4410,34.063351,-118.296799,5993,standard
3,2020-10-01 07:38:00,2020-10-01 07:41:00,3033,34.040989,-118.255798,3074,34.04417,-118.261169,6329,standard
14,2020-10-01 07:42:00,2020-10-01 07:56:00,4476,34.08252,-118.27272,4303,34.098011,-118.287071,6472,standard
12,2020-10-01 07:45:00,2020-10-01 07:57:00,4473,34.07159,-118.282288,4478,34.10424,-118.273697,19819,electric
18,2020-10-01 07:47:00,2020-10-01 08:05:00,4410,34.063351,-118.296799,4401,34.075611,-118.291862,16716,electric
5,2020-10-01 07:52:00,2020-10-01 07:57:00,3042,34.049301,-118.238808,3027,34.04998,-118.247162,20062,standard
14,2020-10-01 07:55:00,2020-10-01 08:09:00,3014,34.05661,-118.237213,3037,34.034801,-118.231277,12178,standard
26,2020-10-01 07:57:00,2020-10-01 08:23:00,3035,34.048401,-118.260948,4387,34.03352,-118.241837,20154,standard
31,2020-10-01 08:00:00,2020-10-01 08:31:00,4482,34.094372,-118.331009,4482,34.094372,-118.331009,18833,electric
4,2020-10-01 08:04:00,2020-10-01 08:08:00,4524,34.06163,-118.301193,4311,34.059689,-118.294662,12395,standard
18,2020-10-01 08:08:00,2020-10-01 08:26:00,3026,34.063179,-118.24588,3078,34.064281,-118.238937,19115,electric
11,2020-10-01 08:17:00,2020-10-01 08:28:00,3005,34.0485,-118.258537,3075,34.04211,-118.256187,5819,standard
8,2020-10-01 08:24:00,2020-10-01 08:32:00,3030,34.051941,-118.24353,3036,34.039188,-118.232529,6673,standard
3,2020-10-01 08:26:00,2020-10-01 08:29:00,3078,34.064281,-118.238937,3026,34.063179,-118.24588,19115,electric
11,2020-10-01 08:28:00,2020-10-01 08:39:00,4446,34.05323,-118.278419,3076,34.0406,-118.253838,6430,standard
4,2020-10-01 08:34:00,2020-10-01 08:38:00,3075,34.04211,-118.256187,4516,34.045849,-118.254402,12441,standard
23,2020-10-01 08:37:00,2020-10-01 09:00:00,4447,34.0616,-118.28199,4491,34.04744,-118.24794,6411,standard
5,2020-10-01 08:46:00,2020-10-01 08:51:00,4437,34.105358,-118.28727,4301,34.099049,-118.291496,12393,standard
11,2020-10-01 08:55:00,2020-10-01 09:06:00,3074,34.04417,-118.261169,3049,34.056969,-118.253593,6378,standard
7,2020-10-01 09:10:00,2020-10-01 09:17:00,3006,34.04554,-118.256668,4491,34.04744,-118.24794,6681,standard
6,2020-10-01 09:15:00,2020-10-01 09:21:00,3034,34.042061,-118.263382,3032,34.049889,-118.255882,6097,standard
56,2020-10-01 09:16:00,2020-10-01 10:12:00,4314,34.057709,-118.279762,4314,34.057709,-118.279762,19544,electric
1,2020-10-01 09:23:00,2020-10-01 09:24:00,4390,34.069271,-118.296593,4390,34.069271,-118.296593,20200,standard
3,2020-10-01 09:25:00,2020-10-01 09:27:00,4390,34.069271,-118.296593,4410,34.063351,-118.296799,19993,standard
9,2020-10-01 09:28:00,2020-10-01 09:37:00,3026,34.063179,-118.24588,3042,34.049301,-118.238808,17567,electric
27,2020-10-01 09:32:00,2020-10-01 09:59:00,4449,34.04557,-118.274193,4538,34.06543,-118.308823,19855,electric
12,2020-10-01 09:35:00,2020-10-01 09:47:00,4315,34.054031,-118.27092,3007,34.05048,-118.254593,6680,standard
1,2020-10-01 09:39:00,2020-10-01 09:40:00,3056,34.03746,-118.265381,3056,34.03746,-118.265381,12432,standard
8,2020-10-01 09:43:00,2020-10-01 09:51:00,4491,34.04744,-118.24794,3008,34.046612,-118.262733,19504,electric
63,2020-10-01 09:45:00,2020-10-01 10:47:00,4453,34.082649,-118.284393,3005,34.0485,-118.258537,20243,standard
24,2020-10-01 09:52:00,2020-10-01 10:16:00,3023,34.050911,-118.240967,3023,34.050911,-118.240967,6158,standard
6,2020-10-01 09:56:00,2020-10-01 10:02:00,3076,34.0406,-118.253838,3019,34.038609,-118.260857,6225,standard
2,2020-10-01 09:57:00,2020-10-01 09:59:00,3052,34.051102,-118.264557,3040,34.05357,-118.266357,12264,standard
14,2020-10-01 10:00:00,2020-10-01 10:14:00,3047,34.039982,-118.266403,3022,34.04607,-118.233093,16704,electric
6,2020-10-01 10:00:00,2020-10-01 10:06:00,3077,34.039871,-118.250038,3019,34.038609,-118.260857,5797,standard
16,2020-10-01 10:07:00,2020-10-01 10:23:00,4491,34.04744,-118.24794,4227,34.0298,-118.270309,6411,standard
2,2020-10-01 10:14:00,2020-10-01 10:16:00,3035,34.048401,-118.260948,3035,34.048401,-118.260948,20016,standard
5,2020-10-01 10:16:00,2020-10-01 10:21:00,3035,34.048401,-118.260948,3064,34.046131,-118.257591,11977,standard
8,2020-10-01 10:22:00,2020-10-01 10:30:00,3014,34.05661,-118.237213,3048,34.041691,-118.235352,20077,standard
37,2020-10-01 10:24:00,2020-10-01 11:01:00,4490,34.053551,-118.255836,4490,34.053551,-118.255836,6092,standard
10,2020-10-01 10:24:00,2020-10-01 10:34:00,3011,34.04113,-118.267982,3000,0.0,0.0,19687,electric
56,2020-10-01 10:27:00,2020-10-01 11:23:00,3034,34.042061,-118.263382,3064,34.046131,-118.257591,16600,electric
12,2020-10-01 10:27:00,2020-10-01 10:39:00,3011,34.04113,-118.267982,3081,34.031891,-118.250183,6377,standard
2,2020-10-01 10:28:00,2020-10-01 10:30:00,3019,34.038609,-118.260857,3075,34.04211,-118.256187,6596,standard
55,2020-10-01 10:28:00,2020-10-01 11:23:00,3049,34.056969,-118.253593,3064,34.046131,-118.257591,6378,standard
22,2020-10-01 10:33:00,2020-10-01 10:55:00,3005,34.0485,-118.258537,3035,34.048401,-118.260948,11966,standard
12,2020-10-01 10:34:00,2020-10-01 10:46:00,4273,34.02586,-118.284103,4254,34.028679,-118.284111,12086,standard
11,2020-10-01 10:37:00,2020-10-01 10:48:00,4303,34.098011,-118.287071,4476,34.08252,-118.27272,6472,standard
14,2020-10-01 10:39:00,2020-10-01 10:53:00,3078,34.064281,-118.238937,3068,34.0532,-118.250954,19956,electric
84,2020-10-01 10:39:00,2020-10-01 12:03:00,4220,34.074829,-118.258728,4445,34.073639,-118.251572,17812,electric
5,2020-10-01 10:40:00,2020-10-01 10:45:00,4516,34.045849,-118.254402,4491,34.04744,-118.24794,12441,standard
11,2020-10-01 10:46:00,2020-10-01 10:57:00,3026,34.063179,-118.24588,3036,34.039188,-118.232529,19115,electric
347,2020-10-01 10:46:00,2020-10-01 16:33:00,3052,34.051102,-118.264557,3052,34.051102,-118.264557,16343,electric
7,2020-10-01 11:00:00,2020-10-01 11:07:00,4479,34.031502,-118.288742,4245,34.02404,-118.283409,6685,standard
11,2020-10-01 11:04:00,2020-10-01 11:15:00,4446,34.05323,-118.278419,4293,34.062279,-118.271523,6543,standard
101,2020-10-01 11:05:00,2020-10-01 12:46:00,4401,34.075611,-118.291862,4401,34.075611,-118.291862,16716,electric
3,2020-10-01 11:16:00,2020-10-01 11:19:00,3006,34.04554,-118.256668,3063,34.048038,-118.253738,12069,standard
4,2020-10-01 11:20:00,2020-10-01 11:24:00,3063,34.048038,-118.253738,3064,34.046131,-118.257591,19893,electric
26,2020-10-01 11:20:00,2020-10-01 11:46:00,3069,34.05088,-118.248253,3074,34.04417,-118.261169,11976,standard
9,2020-10-01 11:24:00,2020-10-01 11:33:00,3064,34.046131,-118.257591,3020,34.031052,-118.26709,16600,electric
7,2020-10-01 11:24:00,2020-10-01 11:31:00,3067,34.045181,-118.250237,3076,34.0406,-118.253838,6107,standard
14,2020-10-01 11:27:00,2020-10-01 11:41:00,4293,34.062279,-118.271523,4439,34.090969,-118.286247,6044,standard
5,2020-10-01 11:31:00,2020-10-01 11:36:00,4491,34.04744,-118.24794,3005,34.0485,-118.258537,6681,standard
7,2020-10-01 11:41:00,2020-10-01 11:48:00,3068,34.0532,-118.250954,4480,34.05896,-118.250587,20254,standard
51,2020-10-01 11:48:00,2020-10-01 12:39:00,4480,34.05896,-118.250587,4491,34.04744,-118.24794,16997,electric
22,2020-10-01 11:48:00,2020-10-01 12:10:00,3027,34.04998,-118.247162,3027,34.04998,-118.247162,6636,standard
3,2020-10-01 11:49:00,2020-10-01 11:52:00,3006,34.04554,-118.256668,3005,34.0485,-118.258537,6432,standard
637,2020-10-01 11:55:00,2020-10-01 22:32:00,3066,34.063389,-118.23616,3066,34.063389,-118.23616,12053,standard
10,2020-10-01 12:10:00,2020-10-01 12:20:00,4303,34.098011,-118.287071,4476,34.08252,-118.27272,12394,standard
1440,2020-10-01 12:11:00,2020-10-03 09:50:00,4302,34.092491,-118.291443,4476,34.08252,-118.27272,17163,electric
8,2020-10-01 12:13:00,2020-10-01 12:21:00,4538,34.06543,-118.308823,4450,34.063492,-118.287163,19855,electric
13,2020-10-01 12:16:00,2020-10-01 12:29:00,4249,34.020302,-118.281181,4479,34.031502,-118.288742,20175,standard
30,2020-10-01 12:31:00,2020-10-01 13:01:00,3006,34.04554,-118.256668,3005,34.0485,-118.258537,20167,standard
10,2020-10-01 12:31:00,2020-10-01 12:41:00,3035,34.048401,-118.260948,3049,34.056969,-118.253593,20016,standard
3,2020-10-01 12:39:00,2020-10-01 12:42:00,3006,34.04554,-118.256668,3063,34.048038,-118.253738,6184,standard
29,2020-10-01 12:39:00,2020-10-01 13:08:00,4491,34.04744,-118.24794,3063,34.048038,-118.253738,16997,electric
12,2020-10-01 12:43:00,2020-10-01 12:55:00,4512,34.043812,-118.264969,3076,34.0406,-118.253838,6637,standard
5,2020-10-01 12:45:00,2020-10-01 12:50:00,4314,34.057709,-118.279762,4314,34.057709,-118.279762,19544,electric
7,2020-10-01 12:46:00,2020-10-01 12:53:00,4478,34.10424,-118.273697,4451,34.10363,-118.291313,19819,electric
4,2020-10-01 12:53:00,2020-10-01 12:57:00,3034,34.042061,-118.263382,3035,34.048401,-118.260948,6198,standard
102,2020-10-01 13:05:00,2020-10-01 14:47:00,4439,34.090969,-118.286247,4439,34.090969,-118.286247,6044,standard
15,2020-10-01 13:07:00,2020-10-01 13:22:00,3049,34.056969,-118.253593,3064,34.046131,-118.257591,12255,standard
12,2020-10-01 13:07:00,2020-10-01 13:19:00,4314,34.057709,-118.279762,4518,34.057968,-118.299751,19544,electric
50,2020-10-01 13:08:00,2020-10-01 13:58:00,3005,34.0485,-118.258537,3005,34.0485,-118.258537,20167,standard
2,2020-10-01 13:09:00,2020-10-01 13:11:00,4482,34.094372,-118.331009,4482,34.094372,-118.331009,6298,standard
35,2020-10-01 13:09:00,2020-10-01 13:44:00,3063,34.048038,-118.253738,3063,34.048038,-118.253738,16997,electric
270,2020-10-01 13:12:00,2020-10-01 17:42:00,4482,34.094372,-118.331009,4313,34.056808,-118.275002,6523,standard
1,2020-10-01 13:19:00,2020-10-01 13:20:00,4538,34.06543,-118.308823,4538,34.06543,-118.308823,12218,standard
11,2020-10-01 13:20:00,2020-10-01 13:31:00,4538,34.06543,-118.308823,4473,34.07159,-118.282288,11989,standard
53,2020-10-01 13:20:00,2020-10-01 14:13:00,4273,34.02586,-118.284103,4275,34.01252,-118.285896,6037,standard
253,2020-10-01 13:27:00,2020-10-01 17:40:00,4509,34.101639,-118.309174,4301,34.099049,-118.291496,17195,electric
17,2020-10-01 13:45:00,2020-10-01 14:02:00,4509,34.101639,-118.309174,4538,34.06543,-118.308823,11975,standard
29,2020-10-01 13:45:00,2020-10-01 14:14:00,3063,34.048038,-118.253738,3036,34.039188,-118.232529,16997,electric
13,2020-10-01 13:47:00,2020-10-01 14:00:00,4473,34.07159,-118.282288,4538,34.06543,-118.308823,11989,standard
14,2020-10-01 13:53:00,2020-10-01 14:07:00,3064,34.046131,-118.257591,3049,34.056969,-118.253593,12128,standard
8,2020-10-01 13:58:00,2020-10-01 14:06:00,3076,34.0406,-118.253838,4512,34.043812,-118.264969,6637,standard
20,2020-10-01 14:06:00,2020-10-01 14:26:00,4451,34.10363,-118.291313,4446,34.05323,-118.278419,19819,electric
10,2020-10-01 14:06:00,2020-10-01 14:16:00,3006,34.04554,-118.256668,4516,34.045849,-118.254402,6408,standard
22,2020-10-01 14:07:00,2020-10-01 14:29:00,4490,34.053551,-118.255836,3000,0.0,0.0,6092,standard
6,2020-10-01 14:08:00,2020-10-01 14:14:00,3076,34.0406,-118.253838,3067,34.045181,-118.250237,6107,standard
21,2020-10-01 14:09:00,2020-10-01 14:30:00,3068,34.0532,-118.250954,3069,34.05088,-118.248253,19956,electric
27,2020-10-01 14:14:00,2020-10-01 14:41:00,4275,34.01252,-118.285896,4275,34.01252,-118.285896,20185,standard
5,2020-10-01 14:15:00,2020-10-01 14:20:00,3064,34.046131,-118.257591,4490,34.053551,-118.255836,6318,standard
94,2020-10-01 14:15:00,2020-10-01 15:49:00,3036,34.039188,-118.232529,3063,34.048038,-118.253738,19115,electric
8,2020-10-01 14:15:00,2020-10-01 14:23:00,4450,34.063492,-118.287163,4390,34.069271,-118.296593,19855,electric
168,2020-10-01 14:23:00,2020-10-01 17:11:00,4516,34.045849,-118.254402,3005,34.0485,-118.258537,6408,standard
2,2020-10-01 14:36:00,2020-10-01 14:38:00,4390,34.069271,-118.296593,4410,34.063351,-118.296799,19855,electric
8,2020-10-01 14:36:00,2020-10-01 14:44:00,3069,34.05088,-118.248253,3005,34.0485,-118.258537,19956,electric
29,2020-10-01 14:41:00,2020-10-01 15:10:00,4275,34.01252,-118.285896,4275,34.01252,-118.285896,6037,standard
18,2020-10-01 14:42:00,2020-10-01 15:00:00,3077,34.039871,-118.250038,3077,34.039871,-118.250038,20069,standard
7,2020-10-01 14:42:00,2020-10-01 14:49:00,3007,34.05048,-118.254593,3052,34.051102,-118.264557,6680,standard
10,2020-10-01 14:43:00,2020-10-01 14:53:00,4444,34.061619,-118.305573,4304,34.06258,-118.290092,20039,standard
1185,2020-10-01 15:08:00,2020-10-02 10:53:00,4513,34.08371,-118.296021,4453,34.082649,-118.284393,12183,standard
17,2020-10-01 15:11:00,2020-10-01 15:28:00,3005,34.0485,-118.258537,3042,34.049301,-118.238808,6317,standard
10,2020-10-01 15:13:00,2020-10-01 15:23:00,4275,34.01252,-118.285896,4249,34.020302,-118.281181,20130,standard
4,2020-10-01 15:16:00,2020-10-01 15:20:00,4410,34.063351,-118.296799,4390,34.069271,-118.296593,19993,standard
5,2020-10-01 15:23:00,2020-10-01 15:28:00,4510,34.077351,-118.264549,4476,34.08252,-118.27272,6368,standard
7,2020-10-01 15:23:00,2020-10-01 15:30:00,4249,34.020302,-118.281181,4273,34.02586,-118.284103,12297,standard
10,2020-10-01 15:24:00,2020-10-01 15:34:00,3035,34.048401,-118.260948,3000,0.0,0.0,20111,standard
1,2020-10-01 15:25:00,2020-10-01 15:26:00,4302,34.092491,-118.291443,4302,34.092491,-118.291443,20044,standard
25,2020-10-01 15:26:00,2020-10-01 15:51:00,4302,34.092491,-118.291443,4483,34.1007,-118.259117,12456,standard
11,2020-10-01 15:28:00,2020-10-01 15:39:00,3005,34.0485,-118.258537,3035,34.048401,-118.260948,6681,standard
14,2020-10-01 15:28:00,2020-10-01 15:42:00,4476,34.08252,-118.27272,4474,34.110031,-118.287163,16610,electric
18,2020-10-01 15:38:00,2020-10-01 15:56:00,4273,34.02586,-118.284103,4314,34.057709,-118.279762,6038,standard
129,2020-10-01 15:40:00,2020-10-01 17:49:00,4474,34.110031,-118.287163,4474,34.110031,-118.287163,16516,electric
3,2020-10-01 15:43:00,2020-10-01 15:46:00,3005,34.0485,-118.258537,3064,34.046131,-118.257591,19956,electric
54,2020-10-01 15:45:00,2020-10-01 16:39:00,4513,34.08371,-118.296021,3000,0.0,0.0,16811,electric
3,2020-10-01 15:47:00,2020-10-01 15:50:00,3005,34.0485,-118.258537,3018,34.043732,-118.260139,12259,standard
21,2020-10-01 15:47:00,2020-10-01 16:08:00,3030,34.051941,-118.24353,3034,34.042061,-118.263382,12047,standard
5,2020-10-01 15:49:00,2020-10-01 15:54:00,4463,34.175671,-118.378967,4498,34.17989,-118.370422,15803,smart
7,2020-10-01 15:52:00,2020-10-01 15:59:00,3077,34.039871,-118.250038,3062,34.047749,-118.243172,20069,standard
18,2020-10-01 16:00:00,2020-10-01 16:18:00,3074,34.04417,-118.261169,4516,34.045849,-118.254402,5886,standard
4,2020-10-01 16:02:00,2020-10-01 16:06:00,3064,34.046131,-118.257591,3032,34.049889,-118.255882,20148,standard
3,2020-10-01 16:03:00,2020-10-01 16:06:00,3064,34.046131,-118.257591,3018,34.043732,-118.260139,19956,electric
8,2020-10-01 16:10:00,2020-10-01 16:18:00,3008,34.046612,-118.262733,3008,34.046612,-118.262733,19687,electric
8,2020-10-01 16:10:00,2020-10-01 16:18:00,3019,34.038609,-118.260857,3076,34.0406,-118.253838,6204,standard
1,2020-10-01 16:15:00,2020-10-01 16:16:00,3042,34.049301,-118.238808,3042,34.049301,-118.238808,17567,electric
8,2020-10-01 16:17:00,2020-10-01 16:25:00,4510,34.077351,-118.264549,3049,34.056969,-118.253593,12400,standard
53,2020-10-01 16:19:00,2020-10-01 17:12:00,4401,34.075611,-118.291862,4401,34.075611,-118.291862,16716,electric
10,2020-10-01 16:21:00,2020-10-01 16:31:00,4448,34.03027,-118.273193,4273,34.02586,-118.284103,5894,standard
4,2020-10-01 16:26:00,2020-10-01 16:30:00,3027,34.04998,-118.247162,3042,34.049301,-118.238808,20062,standard
6,2020-10-01 16:28:00,2020-10-01 16:34:00,4498,34.17989,-118.370422,4431,34.17765,-118.382309,15803,smart
22,2020-10-01 16:29:00,2020-10-01 16:51:00,3064,34.046131,-118.257591,3035,34.048401,-118.260948,6378,standard
8,2020-10-01 16:31:00,2020-10-01 16:39:00,3045,34.028511,-118.256668,3045,34.028511,-118.256668,6716,standard
11,2020-10-01 16:34:00,2020-10-01 16:45:00,4516,34.045849,-118.254402,3018,34.043732,-118.260139,5886,standard
8,2020-10-01 16:36:00,2020-10-01 16:44:00,3067,34.045181,-118.250237,3049,34.056969,-118.253593,5988,standard
4,2020-10-01 16:36:00,2020-10-01 16:40:00,3037,34.034801,-118.231277,3036,34.039188,-118.232529,12178,standard
23,2020-10-01 16:37:00,2020-10-01 17:00:00,4444,34.061619,-118.305573,3005,34.0485,-118.258537,20213,standard
9,2020-10-01 16:41:00,2020-10-01 16:50:00,3036,34.039188,-118.232529,3014,34.05661,-118.237213,16997,electric
4,2020-10-01 16:43:00,2020-10-01 16:47:00,3029,34.048851,-118.246422,3023,34.050911,-118.240967,6484,standard
19,2020-10-01 16:44:00,2020-10-01 17:03:00,3052,34.051102,-118.264557,3032,34.049889,-118.255882,6680,standard
8,2020-10-01 16:49:00,2020-10-01 16:57:00,3030,34.051941,-118.24353,3022,34.04607,-118.233093,12289,standard
4,2020-10-01 16:53:00,2020-10-01 16:57:00,3035,34.048401,-118.260948,3064,34.046131,-118.257591,20209,standard
13,2020-10-01 16:56:00,2020-10-01 17:09:00,4410,34.063351,-118.296799,4410,34.063351,-118.296799,20030,standard
49,2020-10-01 16:57:00,2020-10-01 17:46:00,3026,34.063179,-118.24588,3078,34.064281,-118.238937,12314,standard
12,2020-10-01 16:57:00,2020-10-01 17:09:00,4457,34.100109,-118.289864,4473,34.07159,-118.282288,19217,electric
9,2020-10-01 16:58:00,2020-10-01 17:07:00,3064,34.046131,-118.257591,3075,34.04211,-118.256187,20122,standard
18,2020-10-01 17:02:00,2020-10-01 17:20:00,3045,34.028511,-118.256668,3042,34.049301,-118.238808,6716,standard
24,2020-10-01 17:07:00,2020-10-01 17:31:00,3005,34.0485,-118.258537,4444,34.061619,-118.305573,20213,standard
4,2020-10-01 17:10:00,2020-10-01 17:14:00,4478,34.10424,-118.273697,4478,34.10424,-118.273697,16342,electric
1,2020-10-01 17:13:00,2020-10-01 17:14:00,4510,34.077351,-118.264549,4510,34.077351,-118.264549,12076,standard
1,2020-10-01 17:14:00,2020-10-01 17:15:00,4510,34.077351,-118.264549,4510,34.077351,-118.264549,12115,standard
23,2020-10-01 17:15:00,2020-10-01 17:38:00,4478,34.10424,-118.273697,4474,34.110031,-118.287163,19823,electric
216,2020-10-01 17:17:00,2020-10-01 20:53:00,3005,34.0485,-118.258537,3006,34.04554,-118.256668,6408,standard
6,2020-10-01 17:18:00,2020-10-01 17:24:00,3062,34.047749,-118.243172,3077,34.039871,-118.250038,20026,standard
23,2020-10-01 17:19:00,2020-10-01 17:42:00,3067,34.045181,-118.250237,3067,34.045181,-118.250237,20237,standard
1,2020-10-01 17:19:00,2020-10-01 17:20:00,4474,34.110031,-118.287163,4474,34.110031,-118.287163,16610,electric
19,2020-10-01 17:20:00,2020-10-01 17:39:00,4474,34.110031,-118.287163,4510,34.077351,-118.264549,16610,electric
29,2020-10-01 17:21:00,2020-10-01 17:50:00,4416,34.157581,-118.38826,4497,34.15749,-118.39576,15235,smart
14,2020-10-01 17:21:00,2020-10-01 17:35:00,3026,34.063179,-118.24588,3078,34.064281,-118.238937,20125,standard
